jst,Asia/Tokyo
est,America/New_York
pst,America/Los_Angeles
hst,Pacific/Honolulu
china,Asia/Shanghai
hk,Asia/Hong_Kong
utc,Europe/London
aest,Australia/Sydney
cst,America/Chicago
ast,America/Puerto_Rico
canada,America/Vancouver
korea,Asia/Seoul
nz,Pacific/Aukland
nzdt,Pacific/Aukland
india,Asia/Kolkata
new york,America/New_York
new-york,America/New_York
ny,America/New_York
nyc,America/New_York
la,America/Los_Angeles
los-angeles,America/Los_Angeles
los angeles,America/Los_Angeles
